trail_id,trail,_geoloc,popularity,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,features,activities,units,park_code
10006571,Angels Landing Trail,"{'lat': 37.25928, 'lng': -112.95166}",84.6229,6598.294,492.8616,5,out and back,5.0,3903,"['dogs-no', 'partially-paved', 'river', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'trail-running']",i,zion
10026705,Emerald Lake Trail,"{'lat': 40.31177, 'lng': -105.64533}",83.0341,4988.954,215.7984,3,out and back,4.5,2991,"['dogs-no', 'forest', 'lake', 'kids', 'partially-paved', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'snowshoeing', 'walking', 'fly-fishing']",i,romo
10026910,Vernal and Nevada Falls via the Mist Trail,"{'lat': 37.73495, 'lng': -119.56619}",68.1488,10299.776,667.8168,3,loop,5.0,1869,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,yose
10235688,Sky Pond via Glacier Gorge Trail,"{'lat': 40.31052, 'lng': -105.64032}",65.477,13035.654,537.972,5,out and back,5.0,1599,"['dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing', 'trail-running']",i,romo
10012464,Delicate Arch Trail,"{'lat': 38.73568, 'lng': -109.5205}",63.6748,4988.954,186.8424,3,out and back,5.0,2332,"['dogs-no', 'kids', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'walking']",i,arch
10027395,The Zion Narrows Riverside Walk,"{'lat': 37.28524, 'lng': -112.94769}",62.5499,2896.812,62.7888,1,out and back,4.5,1877,"['ada', 'beach', 'dogs-no', 'forest', 'kids', 'partially-paved', 'river', 'strollers', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'canoeing']",i,zion
10042715,Alum Cave Trail to Mount LeConte,"{'lat': 35.62957, 'lng': -83.45172}",61.3755,17219.938,916.8384,5,out and back,5.0,2122,"['cave', 'dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking']",i,grsm
10234159,Old Rag Mountain Loop,"{'lat': 38.57052, 'lng': -78.28729}",59.6754,13840.324,736.7016,5,loop,5.0,2278,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'rock-climbing', 'trail-running']",i,shen
10008208,Gem Lake Trail,"{'lat': 40.39644, 'lng': -105.51299}",54.6336,4988.954,301.752,3,out and back,4.5,1651,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['camping', 'hiking', 'nature-trips']",i,romo
10005895,Upper Yosemite Falls Trail,"{'lat': 37.74237, 'lng': -119.60223}",53.628,11587.248,967.74,7,out and back,5.0,1351,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",i,yose
