park_code,num_of_trails,avg_difficulty,avg_rating,park_name,fee_per_car,fee_per_person,street_address,city,state,zip,phone,email,lat,lng,weather_summary
acad,133.0,2.8796992481203008,4.473684210526316,Acadia National Park,30.0,15.0,25 Visitor Center Road,Bar Harbor,ME,04609,2072883338,acadia_information@nps.gov,44.409286,-68.247501,"Located on Mount Desert Island in Maine, Acadia experiences all four seasons. Summer temperatures range from 45-90F (7-30C). Fall temperatures range from 30-70F (-1-21C). Typically the first frost is in mid-October and first snowfall begins in November and can continue through April with an average accumulation of 73 inches (185 cm). Winter temperatures range from 14-35F (-10 - 2C). Spring temperatures range from 30-70F (-1-21C)."
arch,34.0,1.9411764705882353,4.397058823529412,Arches National Park,30.0,15.0,"5 miles north of Moab, Utah, on US 191",Moab,UT,84532,4357192299,archinfo@nps.gov,38.72261844,-109.5863666,"Arches is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F."
badl,9.0,2.3333333333333335,4.166666666666667,Badlands National Park,30.0,25.0,25216 Ben Reifel Road,Interior,SD,57750,6054335361,badl_information@nps.gov,43.68584846,-102.482942,The Badlands weather is variable and unpredictable with temperature extremes ranging from 116° F to -40° F. Summers are hot and dry with occasional violent thunderstorms. Hailstorms and occasional tornadoes can descend on the Badlands with sudden fury. Winters are typically cold with 12 to 24 inches of total snowfall.
bibe,44.0,2.5,4.238636363636363,Big Bend National Park,30.0,12.0,1 Panther Junction,Big Bend National Park,TX,79834,432-477-2251,bibe_info@nps.gov,29.29817767,-103.2297897,"Big Bend is a desert park, so be prepared for extreme conditions. SPRING: From February through April the park abounds with pleasant and comfortable temperatures. SUMMER: May through September is very hot. Temperatures will exceed 100 degrees in the lower elevations by late morning, and often exceed 110 along the Rio Grande. Afternoon thunderstorms can be a welcome respite. WINTER: October through January temperatures are cooler; the weather can quickly turn cold at any time during these months."
blca,20.0,2.1,4.35,Black Canyon Of The Gunnison National Park,30.0,15.0,South Rim Visitor Center,Montrose,CO,81401,970-641-2337,blca_info@nps.gov,38.57779869,-107.7242756,"Today's Weather: http://www.weather.com/weather/today/l/NPBLCA:13:US CLIMATE Weather can vary greatly throughout the day. Summer daytime temperatures range between 55 to 90F (13 to 32C), nights 45 to 60F (7 to 16C). Winter daytime temperatures range between 15 to 40F (-9 to 4C), nights 10 to 20F (-12 to -6C). Afternoon thunderstorms are common during the summer. Snow accumulation varies greatly year to year. Layered clothing appropriate for the season is recommended."
brca,28.0,2.5,4.428571428571429,Bryce Canyon National Park,35.0,30.0,Highway 63,Bryce,UT,84764,4358345322,brca_information@nps.gov,37.58399144,-112.1826689,"Due of its high elevation climate, weather at Bryce Canyon through autumn, winter, and spring can be highly variable. From October to May temperatures fall below freezing nearly every night. The park typically experiences its coldest and snowiest periods from December through February. Spring storms in March and April can still produce heavy snowfall that may impact travel in the region. Summer highs are typically in the 70s-80s F and afternoon thunderstorms are common in July and August."
cany,38.0,2.6842105263157894,4.407894736842105,Canyonlands National Park,30.0,15.0,Island in the Sky - 33 miles from Moab on UT 313,Moab,UT,84532,435-719-2313,canyinfo@nps.gov,38.24555783,-109.8801624,"Canyonlands is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F."
care,29.0,2.6551724137931036,4.4655172413793105,Capitol Reef National Park,20.0,10.0,52 West Headquarters Drive,Torrey,UT,84775,435-425-3791,care_information@nps.gov,38.2821653131,-111.247048378,Weather is posted daily; check at the park visitor center for weather updates. Do not enter into narrow canyons if there is a threat of rain or if rain has been falling in the area. Rain and snow may also make dirt roads impassable to vehicles.
cave,2.0,1.0,4.5,Carlsbad Caverns National Park,0.0,0.0,727 Carlsbad Caverns Highway,Carlsbad,NM,88220,0,cave_park_information@nps.gov,32.14089463,-104.5529688,"Carlsbad Caverns National Park is located in the Chihuahuan Desert in southeast New Mexico. Summers are hot with temperatures between 90°F (32°C) and low 100s °F (38°C). Windy conditions and mild temperatures are common in early spring (March-May) with frequent rain in early fall (August-September). This part of the country also sees cold temperatures in the winter with occasional snow and icy conditions. Most days, the park is enveloped by a gorgeous blue sky with very few clouds, 278 sunny days a year!"
chis,11.0,2.6363636363636362,4.454545454545454,Channel Islands National Park,0.0,0.0,1901 Spinnaker Drive,Ventura,CA,93001,0,chis_information@nps.gov,33.98680093,-119.9112735,"In general, the islands have a Mediterranean climate year-round. Temperatures are relatively stable, with highs averaging in the mid-60s (°F) and lows in the low-50s. However, there are seasonal differences that visitors should take into consideration when visiting the park. In addition, visitors also should be aware that ocean and weather conditions vary considerably from day-to-day and island-to-island. For more information visit: http://www.nps.gov/chis/planyourvisit/weather.htm"
cong,6.0,1.0,3.8333333333333335,Congaree National Park,0.0,0.0,100 National Park Road,Hopkins,SC,29061,0,cong_information@nps.gov,33.79187523,-80.74867805,"Check the forecast before getting on the road. Conditions can change rapidly within the park. Flooding can happen with little or no warning, so make sure to check water levels for Cedar Creek and the Congaree River."
crla,18.0,2.111111111111111,4.25,Crater Lake National Park,30.0,25.0,Crater Lake National Park,Crater Lake,OR,97604,5415943000,craterlake@nps.gov,42.94065854,-122.1338414,"Summers at Crater Lake are short but sunny. July, August, and September are your best bets for warm, dry weather. In May, June, and October, sunny days alternate with periods of rain and snow. Winters at Crater Lake are long and snowy. Storms from the Pacific Ocean dump an annual average of 41 feet (13.5 meters) of snow at park headquarters."
cuva,45.0,2.3777777777777778,4.222222222222222,Cuyahoga Valley National Park,0.0,0.0,6947 Riverview Road,Peninsula,OH,44264,0,cuva_info@nps.gov,41.26093905,-81.57116722,"Spring's rain and warming temperatures bring new leaves on trees, blooming wildflowers, and visitors anxious get out on the trail. Summer temperatures range from 49 to 95 degrees F and can be humid. Dressing in layers is advisable. Fall temperatures can range from low 70s during the day to freezing during the night. Fall foliage often peaks in mid-October. Winter weather conditions can rapidly change due to the lake effect snow from Lake Erie. Temperatures vary from mid-30s to below zero."
dena,11.0,2.4545454545454546,4.2727272727272725,Denali National Park & Preserve,0.0,0.0,Mile 237 Highway 3,Denali Park,AK,99755,0,denali_info@nps.gov,63.29777484,-151.0526568,"Summer is typically cool and wet, with highs typically in the upper 50s to low 60s, and lows in the 40s. On occasion, summer highs reach the low 80s, though this is rare. Snow can fall any month of the year, so be prepared for chilly weather even in summer. Fall colors emerge on the alpine tundra in August and in the low valleys in early September. Winter generally starts in mid-September, with temps often getting down to -40 by January. Spring is a short season in April / May, with highs above freezing."
deva,31.0,2.161290322580645,4.290322580645161,Death Valley National Park,30.0,15.0,PO Box 579,Death Valley,CA,92328,7607863200,deva_information@nps.gov,36.48753731,-117.134395,"SPRING is the most popular time to visit Death Valley. Warm and sunny days with the possibility of spring wildflowers is a big attraction. SUMMER starts early in Death Valley. By May the valley can be scorching hot. AUTUMN arrives in late October, with warm but pleasant temperatures and generally clear skies. WINTER has cool days, chilly nights and rarely, rainstorms. With snow capping the high peaks and low angled winter light, this season is especially beautiful for exploring the valley."
ever,12.0,1.0,3.8333333333333335,Everglades National Park,30.0,25.0,40001 State Road 9336,Homestead,FL,33034,3052427700,ever_information@nps.gov,25.37294225,-80.88200301,The climate in Florida is known to be mild and sunny.The average annual temperatures for South Florida and the Keys range from 74° to 77°F (23° to 25°C). There are two seasons at the Everglades National Park: the wet season and the dry season. The wet season runs from Mid-May to November and the dry season runs from December to mid-May.
glac,81.0,3.4691358024691357,4.444444444444445,Glacier National Park,35.0,30.0,64 Grinnell Drive,West Glacier,MT,59936,406-888-7800,glac_questions@nps.gov,48.68414678,-113.8009306,"Glacier's weather is highly variable and can be extreme. Expect warm sunny summer days and in the winter the temperatures can fall well below freezing. Glacier's geography, straddling the Continental Divide, sets the stage for clashes of two very different climates. Warm, wet Pacific air moves in from the west, and cold dry Arctic air from the northeast. They meet at the Divide."
glba,1.0,1.0,4.5,Glacier Bay National Park & Preserve,0.0,0.0,1 Park Road,Gustavus,AK,99826,0,glba_administration@nps.gov,58.80086718,-136.8407579,"Summer temperatures average 50° to 60° F (10° to 15° C). Rain is the norm in lush southeast Alaska. It is best to be prepared to enjoy the park in any kind of weather, especially rain. Suggested clothing includes waterproof boots, rain gear, a hat, gloves, wool or pile layers or a warm coat. Good rain gear is essential here. April, May and June are usually the driest months of the year. September and October tend to be the wettest."
grba,14.0,3.142857142857143,4.464285714285714,Great Basin National Park,0.0,0.0,Lehman Caves Visitor Center,Baker,NV,89311,0,grba_interpretation@nps.gov,38.94617378,-114.2579782,"There is almost an 8,000 ft (2,400 m) difference in elevation between Wheeler Peak and the valley floor. Weather conditions in the park vary with elevation. In late spring and early summer, days in the valley may be hot, yet the snow pack may not have melted in the higher elevations. The Great Basin is a desert, with low relative humidity and sharp drops in temperature at night. In the summer, fierce afternoon thunderstorms are common. It can snow any time of the year at high elevations."
grca,63.0,3.7301587301587302,4.555555555555555,Grand Canyon National Park,35.0,20.0,20 South Entrance Road,Grand Canyon,AZ,86023,928-638-7888,grca_information@nps.gov,36.0001165336,-112.121516363,"This weather varies with cold winters and mild pleasant summers, moderate humidity, and considerable diurnal temperature changes at the higher elevations, with hot and drier summers at the bottom of the Grand Canyon along with cool damp winters. Summer thunderstorms and winter snowfall adds to the weather variety in this region."
grsa,10.0,3.4,4.25,Great Sand Dunes National Park & Preserve,25.0,20.0,Visitor Center,Mosca,CO,81146,7193786395,grsa_interpretation@nps.gov,37.79256812,-105.5919572,"Temperatures are relatively cool all year, thanks to the park and preserve's high elevation. Conditions are most often calm, but winds can arise, especially in spring and during storm fronts. Daytime temperatures feel warmer here year round due to intense high-altitude sunlight, and a scorching mid-day summer sand surface. Plan to explore the dunes morning or evening during summer. Nights are cool in summer, and frigid in winter. Visit the Great Sand Dunes website for the most accurate weather forecasts."
grsm,181.0,3.408839779005525,4.2845303867403315,Great Smoky Mountains National Park,0.0,0.0,107 Park Headquarters Road,Gatlinburg,TN,37738,0,GRSM_Smokies_Information@nps.gov,35.60116374,-83.50818326,"Elevations in the park range from approximately 875 feet to 6,643 feet and the topography can drastically affect local weather. Temperatures can vary by 10-20 degrees Fahrenheit from mountain base to top, and clear skies lower down do not guarantee equally pleasant weather at higher elevations."
grte,65.0,3.2153846153846155,4.523076923076923,Grand Teton National Park,35.0,20.0,103 Headquarters Loop,Moose,WY,83012,307-739-3399,grte_info@nps.gov,43.81853565,-110.7054666,"Grand Teton National Park has long, cold winters—snow and frost are possible any month. April, May, & June - Mild days and cool nights alternate with rain and snow. July & August - Warm days and cool nights prevail, with afternoon thundershowers common. September, October, & November - Sunny days and cold nights alternate with rain and occasional snowstorms. December to April - Between storms the days are sunny and nights are frigid. Snow blankets the mountains and valley."
