parkCode,Park Name,City,State,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
acad,Acadia National Park,Bar Harbor,ME,44.409286,-68.247501,289.66,292.08,97,100,2.06,1663121480,US
agfo,Agate Fossil Beds National Monument,Harrison,NE,42.42170419,-103.753886,294.07,296.39,14,89,4.08,1663121480,US
alka,Ala Kahakai National Historic Trail,Kailua-Kona,HI,19.144668109,-155.890734294,298.06,298.06,83,83,2.45,1663121481,US
alfl,Alibates Flint Quarries National Monument,Potter County,TX,35.5819662,-101.6717008,297.48,302.08,26,100,8.17,1663121481,US
alpo,Allegheny Portage Railroad National Historic Site,Gallitzin,PA,40.42977467,-78.57431622,284.09,285.79,89,0,3.84,1663121481,US
amis,Amistad National Recreation Area,Del Rio,TX,29.53539777,-101.075821,300.05,301.88,51,15,7.95,1663121482,US
ania,Aniakchak National Monument & Preserve,KIng Salmon,AK,56.85317675,-157.5544362,279.01,279.01,89,100,4.51,1663121482,US
anti,Antietam National Battlefield,Sharpsburg,MD,39.46763452,-77.73828017,288.81,293.01,75,0,4.19,1663121482,US
apis,Apostle Islands National Lakeshore,Bayfield,WI,46.96240467,-90.66045665,287.96,290.14,79,100,5.27,1663121482,US
appa,Appalachian National Scenic Trail,Harpers Ferry,WV,40.41029575,-76.4337548,289.8,293.18,61,0,3.09,1663121483,US
apco,Appomattox Court House National Historical Park,Appomattox,VA,37.38022164,-78.79856982,289.46,292.46,77,5,2.24,1663121483,US
arch,Arches National Park,Moab,UT,38.72261844,-109.5863666,291.4,293.39,68,100,2.06,1663121483,US
arpo,Arkansas Post National Memorial,Gillett,AR,34.00389998,-91.30837178,295.89,295.89,56,0,2.8,1663121484,US
asis,Assateague Island National Seashore,Berlin,MD,38.05593172,-75.24524611,292.64,295.21,68,88,2.28,1663121484,US
azru,Aztec Ruins National Monument,Aztec,NM,36.83682216,-107.9999245,291.92,293.77,47,100,3.41,1663121484,US
badl,Badlands National Park,Interior,SD,43.68584846,-102.482942,295.11,295.11,22,52,6.51,1663121485,US
band,Bandelier National Monument,Los Alamos,NM,35.77898596,-106.3317124,287.66,292.07,39,75,3.6,1663121485,US
beol,Bent's Old Fort National Historic Site,La Junta,CO,38.03977546,-103.4266499,299.51,300.13,27,20,3.6,1663121485,US
bela,Bering Land Bridge National Preserve,Nome,AK,65.96087902,-164.4086432,284.78,284.78,75,99,3.69,1663121485,US
bibe,Big Bend National Park,Big Bend National Park,TX,29.29817767,-103.2297897,298.09,299.49,38,17,3.26,1663121486,US
bicy,Big Cypress National Preserve,Ochopee,FL,25.97079602,-81.08120629,296.97,296.97,82,100,5.51,1663121486,US
biho,Big Hole National Battlefield,Wisdom,MT,45.64647324,-113.6458443,281.86,281.86,94,100,0.08,1663121486,US
biso,Big South Fork National River & Recreation Area,Oneida,TN,36.5348388,-84.66506688,290.84,291.66,85,100,0,1663121487,US
bith,Big Thicket National Preserve,Kountze,TX,30.457983431,-94.386742115,292.33,295.99,58,0,1.51,1663121487,US
bica,Bighorn Canyon National Recreation Area,Lovell,WY,45.13154227,-108.1443943,298.55,298.55,23,95,1.91,1663121487,US
blca,Black Canyon Of The Gunnison National Park,Montrose,CO,38.57779869,-107.7242756,285.73,288.81,88,100,2.57,1663121488,US
blri,Blue Ridge Parkway,Asheville,NC,35.5657195274,-82.486484587,286.27,289.18,84,1,1.4,1663121488,US
blue,Bluestone National Scenic River,Pipestem,WV,37.56577087,-80.98366657,284.89,288.25,88,12,1.8,1663121488,US
bowa,Booker T Washington National Monument,Hardy,VA,37.11520539,-79.73185833,288.16,291.71,81,0,0.45,1663121488,US
boha,Boston Harbor Islands National Recreation Area,Boston,MA,42.30905526,-70.93941138,293.48,296.75,95,100,3.6,1663121489,US
brca,Bryce Canyon National Park,Bryce,UT,37.58399144,-112.1826689,284.31,284.31,76,40,2.06,1663121489,US
buis,Buck Island Reef National Monument,"Christiansted, St. Croix",VI,17.81026717,-64.6222179,301.16,301.21,86,32,7.07,1663121489,VI
buff,Buffalo National River,St. Joe,AR,36.04116481,-92.90761584,290.05,293.72,59,0,1.53,1663121490,US
cabr,Cabrillo National Monument,San Diego,CA,32.6722503,-117.2415985,293.1,298.16,79,20,3.6,1663121490,US
cali,California National Historic Trail,Santa Fe,NM,42.3999643979,-108.702415369,288.33,290.45,54,100,3.6,1663121490,US
cane,Camp Nelson National Monument,Nicholasville,KY,37.7970179913,-84.598168306,289.31,292.1,88,36,1.87,1663121490,US
cana,Canaveral National Seashore,New Smyrna Beach,FL,28.78637529,-80.75419576,297.15,299.35,94,0,2.06,1663121491,US
cach,Canyon de Chelly National Monument,Chinle,AZ,36.14319567,-109.3388303,291.63,291.63,39,47,5.67,1663121491,US
cany,Canyonlands National Park,Moab,UT,38.24555783,-109.8801624,294.14,294.14,38,90,4.49,1663121491,US
caco,Cape Cod National Seashore,Eastham,MA,41.92381465,-70.04319832,295.1,296.5,97,2,4.92,1663121492,US
caha,Cape Hatteras National Seashore,Buxton,NC,35.41370839,-75.65061112,296.16,300.38,81,12,4.3,1663121492,US
cakr,Cape Krusenstern National Monument,Kotzebue,AK,67.41499986,-163.5037786,285.71,285.71,66,100,3,1663121492,US
care,Capitol Reef National Park,Torrey,UT,38.2821653131,-111.247048378,290.98,293,64,99,2.49,1663121493,US
cavo,Capulin Volcano National Monument,Capulin,NM,36.78171096,-103.9710427,288.07,290.2,50,100,1.88,1663121493,US
carl,Carl Sandburg Home National Historic Site,Flat Rock,NC,35.26815509,-82.45106258,286.52,290.24,87,5,2.36,1663121493,US
cave,Carlsbad Caverns National Park,Carlsbad,NM,32.14089463,-104.5529688,292.33,292.33,32,81,2.39,1663121493,US
cato,Catoctin Mountain Park,Thurmont,MD,39.65068457,-77.46417665,286.91,289.99,78,0,5.66,1663121494,US
cebr,Cedar Breaks National Monument,Brian Head,UT,37.63545562,-112.845268,281.59,282.47,87,63,0.87,1663121494,US
chcu,Chaco Culture National Historical Park,Nageezi,NM,36.03963414,-107.9560076,289.32,289.32,63,100,7.02,1663121494,US
cham,Chamizal National Memorial,El Paso,TX,31.76729634,-106.4544011,299.45,302.06,39,75,2.57,1663121494,US
chis,Channel Islands National Park,Ventura,CA,33.98680093,-119.9112735,295.13,295.17,78,0,12.55,1663121495,US
chpi,Charles Pinckney National Historic Site,Mount Pleasant,SC,32.84577392,-79.82487582,296.48,299.79,91,0,4.02,1663121495,US
chat,Chattahoochee River National Recreation Area,Sandy Springs,GA,33.99698333,-84.28953177,288.71,294.09,80,0,0,1663121495,US
choh,Chesapeake & Ohio Canal National Historical Park,Williamsport,MD,39.000283692,-77.2481399539,290.08,295.75,67,75,4.12,1663121496,US
chch,Chickamauga & Chattanooga National Military Park,Fort Oglethorpe,GA,34.94317623,-85.28749537,288.91,292.9,86,0,1.09,1663121496,US
chic,Chickasaw National Recreation Area,Sulphur,OK,34.46050507,-97.00715669,296.75,299.26,57,75,3.09,1663121496,US
chir,Chiricahua National Monument,Willcox,AZ,32.01214618,-109.341607,286.97,291.42,77,94,2.68,1663121496,US
ciro,City Of Rocks National Reserve,Almo,ID,42.0699024,-113.7124097,282.98,285.82,73,100,1.18,1663121497,US
cwdw,Civil War Defenses of Washington,Washington,DC,38.9644,-77.0292,289.86,295.68,65,75,7.2,1663121497,US
colm,Colorado National Monument,Fruita,CO,39.05045016,-108.6920709,285.39,286.79,88,75,3.6,1663121497,US
cong,Congaree National Park,Hopkins,SC,33.79187523,-80.74867805,291.47,295.35,44,100,2.61,1663121498,US
coro,Coronado National Memorial,Hereford,AZ,31.34900397,-110.2561574,292.53,295.27,58,0,3.31,1663121498,US
crla,Crater Lake National Park,Crater Lake,OR,42.94065854,-122.1338414,284.5,284.5,57,0,2.38,1663121498,US
crmo,Craters Of The Moon National Monument & Preserve,Arco,ID,43.20345611,-113.4791609,289.55,289.55,61,100,2.32,1663121498,US
cuga,Cumberland Gap National Historical Park,Middlesboro,KY,36.62503076,-83.6114083,288.79,290.22,88,40,0,1663121499,US
cuis,Cumberland Island National Seashore,St. Marys,GA,30.85857484,-81.45253575,297.15,298.68,82,99,1.25,1663121499,US
cure,Curecanti National Recreation Area,Gunnison,CO,38.46584558,-107.3303371,283.92,286.84,83,100,0.7,1663121499,US
cuva,Cuyahoga Valley National Park,Peninsula,OH,41.26093905,-81.57116722,285.84,290.81,85,0,2.28,1663121499,US
