park_code,park_name,fee_per_car,fee_per_person,street_address,city,state,zip_code,phone_number,email_address,lat,lng,Weather Summary,num_of_trails,avg_difficulty,avg_rating
acad,Acadia National Park,30.00,15.00,25 Visitor Center Road,Bar Harbor,ME,04609,2072883338,acadia_information@nps.gov,44.409286,-68.247501,"Located on Mount Desert Island in Maine, Acadia experiences all four seasons. Summer temperatures range from 45-90F (7-30C). Fall temperatures range from 30-70F (-1-21C). Typically the first frost is in mid-October and first snowfall begins in November and can continue through April with an average accumulation of 73 inches (185 cm). Winter temperatures range from 14-35F (-10 - 2C). Spring temperatures range from 30-70F (-1-21C).",133.0,2.8796992481203008,4.473684210526316
agfo,Agate Fossil Beds National Monument,0,0,301 River Road,Harrison,NE,69346,N/A,agfo_ranger_activities@nps.gov,42.42170419,-103.753886,"Summers can be very warm, high 90's to 100 with the frequent afternoon thunderstorms. Plan to hike early and come down from the higher points if storms threaten. Winter temperatures can dip as low as -20 with snow and wind. Heaviest snows can be expected in late Spring.",0.0,0.0,0.0
alka,Ala Kahakai National Historic Trail,0,0,Superintendent,Kailua-Kona,HI,96740,N/A,aric_arakaki@nps.gov,19.144668109,-155.890734294,"Hawaiʻiʻs coast is generally sunny and hot. Be prepared with sun protection (hat, mineral-based sunscreen, sunglasses and long sleeves) and water (minimum 2 liters of water per person per day for short hikes). Before visiting the Trail, check weather forecasts and follow all warnings and advisories: - https://www.weather.gov/hfo/ - www.hawaiicounty.gov/active-alerts",0.0,0.0,0.0
alfl,Alibates Flint Quarries National Monument,0,0,37084 Alibates Rd.,Potter County,TX,79036,N/A,lamr_interpretation@nps.gov,35.5819662,-101.6717008,"The Texas Panhandle experiences a wide variety of weather conditions throughout the year. Winters are cold and windy, and summers are hot and dry. It is usually a good idea to bring a jacket with you if you are planning on hiking to the quarries with a ranger because the mesa gets very windy, even in the summer.",0.0,0.0,0.0
alpo,Allegheny Portage Railroad National Historic Site,0,0,110 Federal Park Road,Gallitzin,PA,16641,N/A,alpo_interpretation@nps.gov,40.42977467,-78.57431622,"The park is located in Cambria County, PA, and is at the summit of the Allegheny Mountains. Therefore, the park often takes on winter extremes. If planning on traveling from a long distance, please contact the park beforehand to ensure that the facilities are open. Please consult weather forecasts to ensure conditions are safe to travel in. Spring, summer, and fall are generally uneventful, but severe thunderstorms can occur.",0.0,0.0,0.0
amis,Amistad National Recreation Area,0,0,10477 Highway 90 West,Del Rio,TX,78840,N/A,amis_interpretation@nps.gov,29.53539777,-101.075821,"Weather in Southwest Texas can change in a matter of minutes. It is best to check the local weather report. Amistad National Recreation Area usually has hot summers and mild winters. For more information, please visit our Current Conditions page at https://www.nps.gov/amis/planyourvisit/conditions.htm.",0.0,0.0,0.0
ania,Aniakchak National Monument & Preserve,0,0,"1000 Silver St., Bldg. 603",KIng Salmon,AK,99613,N/A,KATM_Visitor_Information@nps.gov,56.85317675,-157.5544362,"When you visit, be prepared to encounter all types of weather. On average, wet and cool conditions predominate in spring, summer, and fall. Strong winds can delay the departure and arrival of boats and floatplanes.",0.0,0.0,0.0
anti,Antietam National Battlefield,10.00,0.00,5831 Dunker Church Rd.,Sharpsburg,MD,21782,3014325124,anti_info@nps.gov,39.46763452,-77.73828017,The weather is fairly mild. Summers can be very warm and humid and winters cold and snowy. We have four distinct seasons with the fall and spring being the best times to visit the battlefield.,0.0,0.0,0.0
apis,Apostle Islands National Lakeshore,0,0,415 Washington Avenue,Bayfield,WI,54814,N/A,apis_information@nps.gov,46.96240467,-90.66045665,"Lake Superior is renowned for its cold temperatures, rough seas, fog, and sudden squalls. Boaters and paddlers should monitor marine weather forecasts and be constantly alert to changing conditions. Average daytime high temperatures range from 60 degrees Fahrenheit in May, to the upper 80s in mid-summer, to the mid-60s in September. Average lows vary from 40 degrees in May, to the upper 50s in mid-summer, to 50 degrees in September. Average water temperatures in May and June are only in the 40s.",0.0,0.0,0.0
appa,Appalachian National Scenic Trail,0,0,Appalachian Trail Park Office,Harpers Ferry,WV,25425,N/A,0@0,40.41029575,-76.4337548,"It is your responsibility to be prepared for all weather conditions, including extreme and unexpected weather changes year-round. As the trail runs from Georgia to Maine there will be different weather conditions depending on your location. For weather along specific sections of the trail and at specific shelters, please refer to: http://www.atweather.org/",0.0,0.0,0.0
