park_code,park_name,city,state,lat,lng,min_temp,max_temp,humidity,cloudiness,wind_speed,date
acad,Acadia National Park,Bar Harbor,ME,44.409286,-68.247501,59.04,65.41,44,0,17,1663264403
agfo,Agate Fossil Beds National Monument,Harrison,NE,42.42170419,-103.753886,65.82,66.65,44,70,5.35,1663264403
alka,Ala Kahakai National Historic Trail,Kailua-Kona,HI,19.144668109,-155.890734294,77.65,77.65,76,13,4.32,1663264403
alfl,Alibates Flint Quarries National Monument,Potter County,TX,35.5819662,-101.6717008,80.37,87.3,52,19,18.86,1663264404
alpo,Allegheny Portage Railroad National Historic Site,Gallitzin,PA,40.42977467,-78.57431622,64,71.73,54,13,7.4,1663264404
amis,Amistad National Recreation Area,Del Rio,TX,29.53539777,-101.075821,82.22,85.66,45,0,15.68,1663264404
ania,Aniakchak National Monument & Preserve,KIng Salmon,AK,56.85317675,-157.5544362,44.74,44.74,95,100,6.13,1663264405
anti,Antietam National Battlefield,Sharpsburg,MD,39.46763452,-77.73828017,73.67,79.47,60,2,8.34,1663264405
apis,Apostle Islands National Lakeshore,Bayfield,WI,46.96240467,-90.66045665,62.55,78.58,76,100,8.32,1663264405
appa,Appalachian National Scenic Trail,Harpers Ferry,WV,40.41029575,-76.4337548,67.73,73.65,54,40,3,1663264405
apco,Appomattox Court House National Historical Park,Appomattox,VA,37.38022164,-78.79856982,77.23,81.16,56,0,1.99,1663264406
arch,Arches National Park,Moab,UT,38.72261844,-109.5863666,70.43,73.31,52,3,4.03,1663264406
arpo,Arkansas Post National Memorial,Gillett,AR,34.00389998,-91.30837178,83.93,83.93,40,0,5.21,1663264406
asis,Assateague Island National Seashore,Berlin,MD,38.05593172,-75.24524611,73.99,79.09,63,34,14.29,1663264407
azru,Aztec Ruins National Monument,Aztec,NM,36.83682216,-107.9999245,67.37,75.4,51,3,1.01,1663264407
badl,Badlands National Park,Interior,SD,43.68584846,-102.482942,69.53,69.53,40,86,12.91,1663264407
band,Bandelier National Monument,Los Alamos,NM,35.77898596,-106.3317124,64.11,71.74,48,5,13.65,1663264408
beol,Bent's Old Fort National Historic Site,La Junta,CO,38.03977546,-103.4266499,79.56,79.56,30,34,8.28,1663264408
bela,Bering Land Bridge National Preserve,Nome,AK,65.96087902,-164.4086432,46.24,46.24,89,100,12.3,1663264408
bibe,Big Bend National Park,Big Bend National Park,TX,29.29817767,-103.2297897,77.9,81.41,38,0,3.42,1663264408
bicy,Big Cypress National Preserve,Ochopee,FL,25.97079602,-81.08120629,92.98,92.98,43,96,5.73,1663264409
biho,Big Hole National Battlefield,Wisdom,MT,45.64647324,-113.6458443,64.92,64.92,32,99,3.89,1663264409
biso,Big South Fork National River & Recreation Area,Oneida,TN,36.5348388,-84.66506688,76.12,76.84,50,0,0,1663264410
bith,Big Thicket National Preserve,Kountze,TX,30.457983431,-94.386742115,84.79,86.92,37,1,4.38,1663264410
bica,Bighorn Canyon National Recreation Area,Lovell,WY,45.13154227,-108.1443943,65.52,68.77,62,100,2.71,1663264411
blca,Black Canyon Of The Gunnison National Park,Montrose,CO,38.57779869,-107.7242756,65.59,69.64,37,32,10.09,1663264411
blri,Blue Ridge Parkway,Asheville,NC,35.5657195274,-82.486484587,71.11,78.03,59,40,5.75,1663264411
blue,Bluestone National Scenic River,Pipestem,WV,37.56577087,-80.98366657,73.27,78.66,39,0,3.65,1663264411
bowa,Booker T Washington National Monument,Hardy,VA,37.11520539,-79.73185833,77.05,80.24,60,0,1.99,1663264412
boha,Boston Harbor Islands National Recreation Area,Boston,MA,42.30905526,-70.93941138,65.66,72.32,44,20,13.8,1663264412
brca,Bryce Canyon National Park,Bryce,UT,37.58399144,-112.1826689,60.03,60.03,49,19,9.31,1663264412
buis,Buck Island Reef National Monument,"Christiansted, St. Croix",VI,17.81026717,-64.6222179,82.42,86.11,87,51,19.33,1663264413
buff,Buffalo National River,St. Joe,AR,36.04116481,-92.90761584,76.62,80.02,39,58,5.37,1663264413
cabr,Cabrillo National Monument,San Diego,CA,32.6722503,-117.2415985,69.93,78.46,64,40,6.91,1663264413
cali,California National Historic Trail,Santa Fe,NM,42.3999643979,-108.702415369,50.32,50.32,87,100,8.05,1663264414
cane,Camp Nelson National Monument,Nicholasville,KY,37.7970179913,-84.598168306,76.39,80.62,45,1,7.27,1663264414
cana,Canaveral National Seashore,New Smyrna Beach,FL,28.78637529,-80.75419576,83.98,89.69,65,0,8.05,1663264414
cach,Canyon de Chelly National Monument,Chinle,AZ,36.14319567,-109.3388303,66.94,66.94,35,0,11.54,1663264414
cany,Canyonlands National Park,Moab,UT,38.24555783,-109.8801624,71.78,71.78,36,0,5.77,1663264415
caco,Cape Cod National Seashore,Eastham,MA,41.92381465,-70.04319832,64.22,69.66,55,1,11.99,1663264415
caha,Cape Hatteras National Seashore,Buxton,NC,35.41370839,-75.65061112,76.01,80.01,56,98,16.55,1663264415
cakr,Cape Krusenstern National Monument,Kotzebue,AK,67.41499986,-163.5037786,43.81,43.81,86,95,10.58,1663264416
care,Capitol Reef National Park,Torrey,UT,38.2821653131,-111.247048378,67.73,70.09,47,0,6.49,1663264416
cavo,Capulin Volcano National Monument,Capulin,NM,36.78171096,-103.9710427,74.7,74.7,28,1,5.66,1663264416
carl,Carl Sandburg Home National Historic Site,Flat Rock,NC,35.26815509,-82.45106258,71.13,77.85,63,0,6.22,1663264417
cave,Carlsbad Caverns National Park,Carlsbad,NM,32.14089463,-104.5529688,74.75,79.29,38,0,6.08,1663264417
cato,Catoctin Mountain Park,Thurmont,MD,39.65068457,-77.46417665,67.48,74.68,56,0,7,1663264417
cebr,Cedar Breaks National Monument,Brian Head,UT,37.63545562,-112.845268,56.19,56.19,55,20,8.72,1663264418
chcu,Chaco Culture National Historical Park,Nageezi,NM,36.03963414,-107.9560076,70,70,31,6,9.53,1663264418
cham,Chamizal National Memorial,El Paso,TX,31.76729634,-106.4544011,79.65,84.34,47,20,4.61,1663264419
chis,Channel Islands National Park,Ventura,CA,33.98680093,-119.9112735,74.55,74.55,73,0,16.44,1663264419
